Station, Latitude, Longitude
Anp Chour, 28.8206716734348, 84.0167422961106
Baglung, 28.2784060352627, 83.5814735830178
Bahrabise, 27.8008520185417, 85.9159395091422
Baitadi, 29.5189673071307, 80.4680939469813
Bajura (Martadi), 29.4542734941962, 81.5347608604059
Simara Airport,	27.1644973094004,	84.982446865074
Simikot,	29.9841927803683,	81.8334207317266
Sindhuli Madhi,	27.1921491830693,	85.9084510197101
Siraha,	26.6439515367258,	86.1854990060996
Surkhet (Birendra Nagar),	28.5769117289317,	81.6257959058102
Syangja,	28.0286722630166,	83.8692694191617
Tamghas,	28.0674288557377,	83.2441766825246
Tansen,	27.8665770304895,	83.5427978068925
Taplejung,	27.353823528239,	87.6716669525683
Tarahara,	26.7060462342093,	87.2573866181568
Taulihawa,	27.5513859057383,	83.0456931084186
Terhathum,	27.1162076068701,	87.5302952952892
Thakmarpha,	28.740909,	83.681614
Tikapur,	28.510354080946,	81.1095341105807
Timure,	28.2563833786225,	85.3678679380952
Tulsipur,	28.1534359523503,	82.3189098073722
Udayapur Gadhi,	26.9374885590283,	86.5151417382398
